First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2016-08-01,2026-07-01,11846249.54,76039,15569220.66,1984,983858.99,1895409.93,905504.86,125388.24,0.0,355772.69,50561.7,33751.02,216625.92
2017-05-01,2037-04-01,2693257.24,70810,3762431.1,1984,264017.34,478598.53,215025.39,44302.99,0.0,22429.79,19980.45,3414.55,60341.34
2017-06-01,2037-05-01,0.0,11217,5565908.82,1920,218661.83,271529.86,56558.13,3419.03,0.0,25664.57,4005.05,6387.3,2520.54
2016-08-01,2026-07-01,8559503.51,78229,12876738.7,1974,856578.74,1820466.02,968026.44,146282.75,0.0,268371.62,29894.88,183996.66,220364.16
2017-05-01,2027-04-01,18764336.82,75007,25509012.82,1982,1667272.24,2886042.37,1171295.44,230448.0,0.0,288606.76,43671.6,52919.28,296384.36
2017-07-01,2037-06-01,1051984.66,11237,1620298.37,1909,74522.04,112122.93,33020.17,3663.12,0.0,8188.85,2933.13,8596.84,2654.6
2017-07-08,2037-06-08,0.0,10591,2315991.09,1881,124465.98,214646.37,85663.6,6156.39,7165.33,39858.43,8824.44,13694.01,5395.72
2017-08-07,2037-07-07,0.0,11226,2938587.32,1931,160140.16,275740.77,116294.49,7453.67,0.0,50996.97,9870.6,13901.72,8998.62
2017-06-12,2037-05-12,0.0,90031,1295574.62,1949,76225.8,110458.81,36084.07,6887.04,0.0,16138.2,2849.34,405.06,0.0
2017-02-01,2027-01-01,6964747.37,27409,9745669.26,1988,537119.99,1210864.47,639992.04,136905.38,0.0,97704.81,21791.89,139819.35,151887.24
2017-08-07,2037-07-07,0.0,11216,3851292.86,1906,182129.54,284157.31,104319.49,6643.78,0.0,38656.91,8509.8,13133.8,7331.17
2017-08-01,2027-07-01,0.0,60653,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
